N,T,suffix,model,method,pick_periods,n,objective,root_time,solving_time,MIP_gap,relaxation_gap,nodes,proportion_of_set_up_costs,proportion_of_holding_costs,set_up_costs_proportion_at_warehouse,set_up_costs_proportion_at_retailers,nb_set_ups_at_warehouse,nb_set_ups_at_retailers,holding_costs_warehouse,holding_costs_retailers,nb_variables,nb_binary_variables,nb_constraints,Unnamed: 24
100,15,DD_DF,owmr,fix_y,fixed_intervals,4.0,106373.88199999998,0.0100253343582152,0.8817438602447509,3.046663379090414e-05,0.4546308462657554,20.0,0.3617391736316822,0.6382608263683178,0.3142673472733802,0.6857326527266198,4.0,654.4000000000003,0.3776655342200928,0.6223344657799065,4646.0,1515.0,3142.0,
100,15,DD_DF,owmr,fix_y,fixed_intervals,5.0,125690.65599999996,0.010810375213623,0.4557150363922119,4.336379310423133e-05,0.3457045488396362,0.0,0.2635879680457159,0.7364120319542845,0.2676781194254779,0.732321880574522,2.9999999999999885,629.4000000000005,0.4947889790184268,0.5052110209815723,4646.0,1515.0,3143.0,
100,15,DD_DF,es,fix_y,fixed_intervals,3.0,95485.78999999988,0.0188293457031249,0.845096492767334,3.654633632293757e-05,0.3687108436379014,28.9,0.4545210421987889,0.5454789578012109,0.3411296492090885,0.6588703507909115,5.0,681.1000000000003,0.2767762733243722,0.7232237266756276,4646.0,1515.0,3156.0,
100,15,DD_DF,es,fix_y,fixed_intervals,4.0,106373.95399999993,0.0184231519699096,0.6267305850982666,2.962851463767883e-05,0.2908195366189344,1.6,0.3617913386367626,0.6382086613632374,0.314227038907667,0.685772961092333,4.0,654.5,0.3777868725493286,0.6222131274506706,4646.0,1515.0,3157.0,
100,15,DD_DF,es,fix_y,fixed_intervals,5.0,125691.08099999976,0.0149593591690063,0.3810524225234985,3.457090560652905e-05,0.2206747440221655,0.0,0.2636590128575066,0.7363409871424946,0.267617940291858,0.7323820597081421,3.0,630.0000000000001,0.4950742816169599,0.5049257183830385,4646.0,1515.0,3158.0,
100,15,DD_DF,ses,fix_y,fixed_intervals,3.0,95485.79,0.0768888235092162,0.93852379322052,9.416357931427023e-06,0.0018650312712815,2.4,0.4545210421987883,0.5454789578012116,0.3411296492090885,0.6588703507909115,5.0,681.1,-1.5573761838260058,0.7232237266756267,13635.0,1515.0,13660.0,
100,15,DD_DF,ses,fix_y,fixed_intervals,4.0,106373.644,0.0768953800201415,0.8402704477310181,0.0,0.0006819514867895,0.3,0.3618811447083235,0.6381188552916759,0.3141505555668573,0.6858494444331427,4.0,654.6,-1.1898895031560155,0.6223247447789809,13635.0,1515.0,13661.0,
100,15,DD_DF,ses,fix_y,fixed_intervals,5.0,125688.739,0.0772875547409057,0.776676607131958,7.477738009656552e-06,0.000177946690036,0.0,0.2637851731143852,0.736214826885615,0.2675057285618475,0.7324942714381525,3.0,630.3,-0.8631757932018493,0.5047218447635634,13635.0,1515.0,13662.0,
50,15,DD_SF,tp,fix_y,fixed_intervals,3.0,55816.518,0.0565018892288207,0.1025742053985595,0.0,1.3232476122172923e-16,0.0,0.5251526116879889,0.4748473883120113,0.5149245042966658,0.4850754957033342,5.0,338.2,0.2711947600528773,0.7288052399471223,41565.0,15.0,18760.0,
50,15,DD_SF,tp,fix_y,fixed_intervals,4.0,59865.037,0.0497960805892943,0.0871427297592162,0.0,6.213958252019422e-17,0.0,0.427626807954173,0.572373192045827,0.4731167578909294,0.5268832421090706,4.0,329.5,0.3755131064442312,0.6244868935557686,41565.0,15.0,18761.0,
50,15,DD_SF,tp,fix_y,fixed_intervals,5.0,67783.17199999999,0.0465750694274901,0.0791686296463012,0.0,1.071391993515518e-16,0.0,0.3135781855108203,0.68642181448918,0.4287182168589943,0.5712817831410055,3.0,314.5,0.4937641670473379,0.506235832952662,41565.0,15.0,18762.0,
50,15,DD_SF,tpc,fix_y,fixed_intervals,3.0,55816.518,0.045639681816101,0.084161353111267,0.0,1.1599818140331994e-16,0.0,0.5251526116879889,0.4748473883120113,0.5149245042966658,0.4850754957033342,5.0,338.2,0.2711947600528773,0.7288052399471223,35445.0,15.0,12760.0,
50,15,DD_SF,tpc,fix_y,fixed_intervals,4.0,59865.037,0.0408409118652343,0.0717345714569091,0.0,5.193885171708693e-17,0.0,0.427626807954173,0.5723731920458269,0.4731167578909294,0.5268832421090706,4.0,329.5,0.3755131064442313,0.6244868935557688,35445.0,15.0,12761.0,
50,15,DD_SF,tpc,fix_y,fixed_intervals,5.0,67783.17199999999,0.0396880865097045,0.0661229372024535,0.0,4.3383939209415176e-17,0.0,0.3135781855108203,0.68642181448918,0.4287182168589943,0.5712817831410055,3.0,314.5,0.4937641670473379,0.5062358329526617,35445.0,15.0,12762.0,
50,15,DD_SF,sp,fix_y,fixed_intervals,3.0,55816.518,0.0674980401992797,0.1683534860610961,0.0,8.790942442859345e-17,0.0,0.5251526116879888,0.4748473883120111,0.5149245042966658,0.4850754957033342,5.0,338.2,0.2711947600528774,0.7288052399471225,41565.0,15.0,13750.0,
50,15,DD_SF,sp,fix_y,fixed_intervals,4.0,59865.037,0.062722635269165,0.1472209453582763,0.0,8.752843109196953e-17,0.0,0.4276969426285282,0.5723030573714719,0.4730396414747771,0.5269603585252228,4.0,329.5,0.3756987540824257,0.6243012459175741,41565.0,15.0,13751.0,
